区分番号,区分名称,順番号,項目コード（17桁）,ＸＭＬ表示名,データタイプ,XMLデータ型（PQ:数値型、CD:大小順序のないコード型、CO：大小順序のあるコード型、ST：文字列型）,文字列換算（全角２バイト、半角１バイト）時の最大バイト長,数値型の場合の形式（数字、ピリオドは小数点）,表示用単位,XML用単位（UCUM単位コード）,author要素で表現される診断者または記述者の項目コード,一連検査グループ識別,一連検査グループ関係コード,同一性項目コード,同一性項目名称,XML検査方法コード,検査方法,結果コードOID,項目コードOID,XML化にあたっての備考
200,がん検診・生体検査等,1180,9N256161100000049,上部消化管Ｘ線(直接撮影)(撮影年月日),年月日,ST,8,,,,,9N256161100000049,COMP,9N256,上部消化管エックス線（直接撮影）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1190,9N256161200000049,上部消化管Ｘ線(直接撮影)(フィルム番号),文字列,ST,64,,,,,9N256161100000049,COMP,9N256,上部消化管エックス線（直接撮影）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1200,9N261160700000011,上部消化管Ｘ線(間接撮影)(所見の有無),コード,CD,1,N,,,,9N261161100000049,COMP,9N261,上部消化管エックス線（間接撮影）,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1210,9N261160800000049,上部消化管Ｘ線(間接撮影)(所見),文字列,ST,256,,,,,9N261161100000049,COMP,9N261,上部消化管エックス線（間接撮影）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1220,9N261161100000049,上部消化管Ｘ線(間接撮影)(撮影年月日),年月日,ST,8,,,,,9N261161100000049,COMP,9N261,上部消化管エックス線（間接撮影）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1230,9N261161200000049,上部消化管Ｘ線(間接撮影)(フィルム番号),文字列,ST,64,,,,,9N261161100000049,COMP,9N261,上部消化管エックス線（間接撮影）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1240,9N266160700000011,上部消化管内視鏡検査(所見の有無),コード,CD,1,N,,,,,,9N266,上部消化管内視鏡検査,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1250,9N266160800000049,上部消化管内視鏡検査(所見),文字列,ST,256,,,,,,,9N266,上部消化管内視鏡検査,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1260,3B339000002399811,ペプシノゲン,コード,CD,1,N,,,,,,3B339,ペプシノゲン,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1270,9F130160700000011,腹部超音波(所見の有無),コード,CD,1,N,,,,,,9F130,腹部超音波,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1280,9F130160800000049,腹部超音波(所見),文字列,ST,256,,,,,,,9F130,腹部超音波,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1290,9N271160700000011,婦人科診察(所見の有無),コード,CD,1,N,,,,,,9N271,婦人科診察,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1300,9N271160800000049,婦人科診察(所見),文字列,ST,256,,,,,,,9N271,婦人科診察,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1310,9N276160700000011,乳房視触診(所見の有無),コード,CD,1,N,,,,,,9N276,乳房視触診,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1320,9N276160800000049,乳房視触診(所見),文字列,ST,256,,,,,,,9N276,乳房視触診,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1330,9N281160700000011,乳房画像診断(マンモグラフィー)(所見の有無),コード,CD,1,N,,,,,,9N281,乳房画像診断（マンモグラフィー）,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1340,9N281160800000049,乳房画像診断(マンモグラフィー)(所見),文字列,ST,256,,,,,,,9N281,乳房画像診断（マンモグラフィー）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1350,9F140160700000011,乳房超音波検査(所見の有無),コード,CD,1,N,,,,,,9F140,乳房超音波検査,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1360,9F140160800000049,乳房超音波検査(所見),文字列,ST,256,,,,,,,9F140,乳房超音波検査,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1370,9N291160700000011,子宮頚部視診(所見の有無),コード,CD,1,N,,,,,,9N291,子宮頚部視診,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1380,9N291160800000049,子宮頚部視診(所見),文字列,ST,256,,,,,,,9N291,子宮頚部視診,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1390,9N296160700000011,子宮内診(所見の有無),コード,CD,1,N,,,,,,9N296,子宮内診,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1400,9N296160800000049,子宮内診(所見),文字列,ST,256,,,,,,,9N296,子宮内診,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1410,7A021165008543311,子宮頸部細胞診 (細胞診婦人科材料)(日母分類),コード,CO,1,N,,,,,,7A021,子宮頸部細胞診 (細胞診婦人科材料）,,,1.2.392.200119.6.2120,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1421,7A021165208543311,子宮頸部細胞診 (細胞診婦人科材料)(ベセスダシステム2001),コード,CD,1,N,,,,,,7A021,子宮頸部細胞診 (細胞診婦人科材料）,,,1.2.392.200119.6.18100,1.2.392.200119.6.1005,V3.0で追加
200,がん検診・生体検査等,1430,7A022000008543311,子宮体部細胞診 (細胞診婦人科材料),コード,CD,1,N,,,,,,7A022,子宮体部細胞診 (細胞診婦人科材料）,,,1.2.392.200119.6.2122,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1440,9Z771160700000011,直腸肛門機能(2項目以上)(所見の有無)   ,コード,CD,1,N,,,,,,9Z771,直腸肛門機能（2項目以上）,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1450,9Z771160800000049,直腸肛門機能(2項目以上)(所見)  ,文字列,ST,256,,,,,,,9Z771,直腸肛門機能（2項目以上）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1460,9Z770160700000011,直腸肛門機能(1項目)(所見の有無),コード,CD,1,N,,,,,,9Z770,直腸肛門機能（1項目）,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1470,9Z770160800000049,直腸肛門機能(1項目)(所見),文字列,ST,256,,,,,,,9Z770,直腸肛門機能（1項目）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1480,1B030000001599811,便潜血,コード,CD,1,N,,,,,,1B030,便潜血,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1490,5D305000002399811,PSA(前立腺特異抗原),コード,CD,1,N,,,,,,5D305,ＰＳＡ（前立腺特異抗原）,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1500,9C310000000000001,肺機能検査(努力肺活量),数字,PQ,4,NN.N,ｌ,L,,,,9C310,肺機能検査（努力肺活量）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1510,9C320000000000001,肺機能検査(1秒量),数字,PQ,4,NN.N,ｌ,L,,,,9C320,肺機能検査（１秒量）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1520,9C330000000000002,肺機能検査(1秒率),数字,PQ,5,NNN.N,%,%,,,,9C330,肺機能検査（１秒率）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1530,9C380000000000002,肺機能検査(%VC),数字,PQ,5,NNN.N,%,%,,,,9C380,肺機能検査（％ＶＣ）,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1540,9E160162100000001,視力(右),数字,PQ,4,N.NN,,,,,,9E160,視力,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1550,9E160162500000001,視力(右:矯正),数字,PQ,4,N.NN,,,,,,9E160,視力,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1560,9E160162200000001,視力(左),数字,PQ,4,N.NN,,,,,,9E160,視力,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1570,9E160162600000001,視力(左:矯正),数字,PQ,4,N.NN,,,,,,9E160,視力,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1580,9D100163100000011,聴力(右:1000Hz),コード,CD,1,N,,,,,,9D100,聴力,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1590,9D100163200000011,聴力(右:4000Hz),コード,CD,1,N,,,,,,9D100,聴力,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1600,9D100163500000011,聴力(左:1000Hz),コード,CD,1,N,,,,,,9D100,聴力,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1610,9D100163600000011,聴力(左:4000Hz),コード,CD,1,N,,,,,,9D100,聴力,,,1.2.392.200119.6.2002,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1660,9D100164000000011,聴力（検査方法）,コード,CD,1,N,,,,,,9D100,聴力,,,1.2.392.200119.6.2301,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1670,9D100160900000049,聴力(その他の所見),文字列,ST,256,,,,,,,9D100,聴力,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1680,9E100166000000011,眼底検査(キースワグナー分類),コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.2110,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1690,9E100166100000011,眼底検査(シェイエ分類:H),コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.2111,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1700,9E100166200000011,眼底検査(シェイエ分類:S),コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.2112,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1710,9E100166300000011,眼底検査(SCOTT分類),コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.2113,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1711,9E100166600000011,眼底検査（Wong-Mitchell分類）,コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.18080,1.2.392.200119.6.1005,V3.0で追加
200,がん検診・生体検査等,1712,9E100166500000011,眼底検査（改変Davis分類）,コード,CO,1,N,,,,9E100161000000049,COMP,9E100,眼底検査,,,1.2.392.200119.6.18090,1.2.392.200119.6.1005,V3.0で追加
200,がん検診・生体検査等,1720,9E100160900000049,眼底検査(その他の所見),文字列,ST,256,,,,,9E100161000000049,COMP,9E100,眼底検査,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1725,9E100161600000011,眼底検査（対象者）,コード,CD,1,N,,,,9E100161000000049,RSON,9E100,眼底検査,,,1.2.392.200119.6.18130,1.2.392.200119.6.1005,V3.0で追加
200,がん検診・生体検査等,1730,9E100161000000049,眼底検査実施理由,文字列,ST,256,,,,,9E100161000000049,RSON,9E100,眼底検査,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1740,9E105162100000001,眼圧検査(右),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9E105,眼圧検査,,,,1.2.392.200119.6.1005,
200,がん検診・生体検査等,1750,9E105162200000001,眼圧検査(左),数字,PQ,3,NNN,mmHg,mm[Hg],,,,9E105,眼圧検査,,,,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1760,5C070000002306201,CRP,数字,PQ,5,NNN.N,mg/dl,mg/dL,,,,5C070,ＣＲＰ,5C07010000,1：可視吸光光度法(ラテックス凝集比濁法),,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1770,5C070000002306301,CRP,数字,PQ,5,NNN.N,mg/dl,mg/dL,,,,5C070,ＣＲＰ,5C07020000,2：可視吸光光度法(免役比濁法),,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1780,5C070000002399901,CRP,数字,PQ,5,NNN.N,mg/dl,mg/dL,,,,5C070,ＣＲＰ,5C07030009,3：その他,,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1790,5H010000001910111,血液型(ABO),コード,CD,1,N,,,,,,5H010,血液型（ＡＢＯ）,5H01010000,1：試験管法　カラム凝集法,1.2.392.200119.6.2115,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1800,5H010000001999911,血液型(ABO),コード,CD,1,N,,,,,,5H010,血液型（ＡＢＯ）,5H01020009,2：その他,1.2.392.200119.6.2115,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1810,5H020000001910111,血液型(Rh),コード,CD,1,N,,,,,,5H020,血液型（Ｒｈ）,5H02010000,1：試験管法　カラム凝集法,1.2.392.200119.6.2116,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1820,5H020000001999911,血液型(Rh),コード,CD,1,N,,,,,,5H020,血液型（Ｒｈ）,5H02020009,2：その他,1.2.392.200119.6.2116,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1830,5E071000002399811,梅毒反応,コード,CD,1,N,,,,,,5E071,梅毒反応,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1840,5F016141002399811,HBs抗原,コード,CD,1,N,,,,,,5F016,ＨＢｓ抗原,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1850,5F360149502399811,HCV抗体,コード,CD,1,N,,,,,,5F360,ＨＣＶ抗体     ,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1860,5F360149702399811,HCV抗体(力価),コード,CO,1,N,,,,,,5F360,ＨＣＶ抗体,,方法問わず,1.2.392.200119.6.2103,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1870,5F360150002399811,HCV抗原検査,コード,CD,1,N,,,,,,5F360,ＨＣＶ抗原,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1880,5F360145002399811,HCV核酸増幅検査,コード,CD,1,N,,,,,,5F360,ＨＣＶ抗原,,方法問わず,1.2.392.200119.6.2100,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1890,9N401000000000011,C型肝炎ウイルス検診の判定,コード,CD,1,N,,,,,,9N401,Ｃ型肝炎ウイルス検診の判定,,,1.2.392.200119.6.2150,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1900,9N406000000000049,その他の法定特殊健康診断,文字列,ST,256,,,,,,,9N406,その他の法定特殊健康診断,,,,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1910,9N411000000000049,その他の法定検査,文字列,ST,256,,,,,,,9N411,その他の法定検査,,,,1.2.392.200119.6.1005,
300,その他医療保険者等が任意に行う検査,1920,9N416000000000049,その他の検査,文字列,ST,256,,,,,,,9N416,その他の検査,,,,1.2.392.200119.6.1005,
400,医師の判断,1930,9N501000000000011,メタボリックシンドローム判定,コード,CD,1,N,,,,,,9N501,メタボリックシンドローム判定,,,1.2.392.200119.6.1008,1.2.392.200119.6.1005,
400,医師の判断,1940,9N506000000000011,保健指導レベル,コード,CD,1,N,,,,,,9N506,保健指導レベル,,,1.2.392.200119.6.3001,1.2.392.200119.6.1005,
400,医師の判断,1950,9N511000000000049,医師の診断(判定),文字列,ST,256,,,,9N516000000000049,,,9N511,医師の診断（判定）,,,,1.2.392.200119.6.1005,
400,医師の判断,1960,9N516000000000049,健康診断を実施した医師の氏名,文字列,ST,64,,,,,,,9N516,,,,,1.2.392.200119.6.1005,XMLでは医師名は独立項目として扱わず、診断所見等の項目のauthor要素として記述（以下＊印、同じ）
400,医師の判断,1970,9N521000000000049,医師の意見,文字列,ST,256,,,,9N526000000000049,,,9N521,医師の意見,,,,1.2.392.200119.6.1005,
400,医師の判断,1980,9N526000000000049,意見を述べた医師の氏名,文字列,ST,64,,,,,,,9N526,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,1990,9N531000000000049,歯科医師による健康診断,文字列,ST,256,,,,9N536000000000049,,,9N531,歯科医師による健康診断,,,,1.2.392.200119.6.1005,
400,医師の判断,2000,9N536000000000049,健康診断を実施した歯科医師の氏名,文字列,ST,64,,,,,,,9N536,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2010,9N541000000000049,歯科医師の意見,文字列,ST,256,,,,9N546000000000049,,,9N541,歯科医師の意見,,,,1.2.392.200119.6.1005,
400,医師の判断,2020,9N546000000000049,意見を述べた歯科医師の氏名,文字列,ST,64,,,,,,,9N546,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2030,9N551000000000049,備考,文字列,ST,256,,,,,,,9N551,備考,,,,1.2.392.200119.6.1005,
400,医師の判断,2040,9N556000000000011,生活機能評価の結果1,コード,CD,1,N,,,,9N556000000000011,COMP,9N556,生活機能評価の結果１,,,1.2.392.200119.6.2501,1.2.392.200119.6.1005,
400,医師の判断,2050,9N561000000000011,生活機能評価の結果2,コード,CD,1,N,,,,9N556000000000011,COMP,9N561,生活機能評価の結果２,,,1.2.392.200119.6.2502,1.2.392.200119.6.1005,
400,医師の判断,2060,9N566000000000049,生活機能評価の結果3,文字列,ST,256,,,,,9N556000000000011,COMP,9N566,生活機能評価の結果３,,,,1.2.392.200119.6.1005,
400,医師の判断,2070,9N571000000000049,医師の診断(判定)(生活機能評価),文字列,ST,256,,,,9N576000000000049,,,9N571,医師の診断（判定）（生活機能評価）,,,,1.2.392.200119.6.1005,
400,医師の判断,2080,9N576000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N576,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2090,9N581161300000011,医師の診断(肺がん検診)(コード),コード,CD,1,N,,,9N586000000000049,,,9N581,医師の診断（肺がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2100,9N581161400000049,医師の診断(肺がん検診)(自由記載),文字列,ST,256,,,,9N586000000000049,,,9N581,医師の診断（肺がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2110,9N586000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N586,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2120,9N591161300000011,医師の診断(胃がん検診)(コード),コード,CD,1,N,,,9N596000000000049,,,9N591,医師の診断（胃がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2130,9N591161400000049,医師の診断(胃がん検診)(自由記載),文字列,ST,256,,,,9N596000000000049,,,9N591,医師の診断（胃がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2140,9N596000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N596,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2150,9N601161300000011,医師の診断(乳がん検診)(コード),コード,CD,1,N,,,9N606000000000049,,,9N601,医師の診断（乳がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2160,9N601161400000049,医師の診断(乳がん検診)(自由記載),文字列,ST,256,,,,9N606000000000049,,,9N601,医師の診断（乳がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2170,9N606000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N606,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2180,9N611161300000011,医師の診断(子宮がん検診)(コード),コード,CD,1,N,,,9N616000000000049,,,9N611,医師の診断（子宮がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2190,9N611161400000049,医師の診断(子宮がん検診)(自由記載),文字列,ST,256,,,,9N616000000000049,,,9N611,医師の診断（子宮がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2200,9N616000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N616,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2210,9N621161300000011,医師の診断(大腸がん検診)(コード),コード,CD,1,N,,,9N626000000000049,,,9N621,医師の診断（大腸がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2220,9N621161400000049,医師の診断(大腸がん検診)(自由記載),文字列,ST,256,,,,9N626000000000049,,,9N621,医師の診断（大腸がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2230,9N626000000000049,診断をした医師の氏名,文字列,ST,64,,,,,,,9N626,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2240,9N631161300000011,医師の診断(前立腺がん検診)(コード),コード,CD,1,N,,,9N636000000000049,,,9N631,医師の診断（前立腺がん検診）（コード）,,,1.2.392.200119.6.2141,1.2.392.200119.6.1005,
400,医師の判断,2250,9N631161400000049,医師の診断(前立腺がん検診)(自由記載),文字列,ST,256,,,,9N636000000000049,,,9N631,医師の診断（前立腺がん検診）（自由記載）,,,,1.2.392.200119.6.1005,
400,医師の判断,2260,9N636000000000049,診断をした医師の氏名,文字列,ST,256,,,,,,,9N636,,,,,1.2.392.200119.6.1005,＊
400,医師の判断,2270,9N641000000000049,医師の診断(その他),文字列,ST,256,,,,9N646000000000049,,,9N641,医師の診断（その他）,,,,1.2.392.200119.6.1005,
400,医師の判断,2280,9N646000000000049,診断をした医師の氏名,文字列,ST,64,,,,,,,9N646,,,,,1.2.392.200119.6.1005,＊
500,質問票,2290,9N701000000000011,服薬1(血圧),コード,CD,1,N,,,,,,9N701,服薬１（血圧）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2300,9N701167000000049,服薬1(血圧)(薬剤名),文字列,ST,256,,,,,,,9N701,服薬１（血圧）,,,,1.2.392.200119.6.1005,
500,質問票,2310,9N701167100000049,服薬1(血圧)(実施理由),文字列,ST,256,,,,,,,9N701,服薬１（血圧）,,,,1.2.392.200119.6.1005,
500,質問票,2290,9N702167200000049,服薬確認者（血圧）,コード,CD,1,N,,,,,,9N702,服薬確認者（血圧）,,,1.2.392.200119.6.1301,1.2.392.200119.6.1005,V2.0で追加
500,質問票,2320,9N706000000000011,服薬2(血糖),コード,CD,1,N,,,,,,9N706,服薬２（血糖）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2330,9N706167000000049,服薬2(血糖)(薬剤名),文字列,ST,256,,,,,,,9N706,服薬２（血糖）,,,,1.2.392.200119.6.1005,
500,質問票,2340,9N706167100000049,服薬2(血糖)(実施理由),文字列,ST,256,,,,,,,9N706,服薬２（血糖）,,,,1.2.392.200119.6.1005,
500,質問票,2290,9N707167200000049,服薬確認者（血糖）,コード,CD,1,N,,,,,,9N707,服薬確認者（血糖）,,,1.2.392.200119.6.1301,1.2.392.200119.6.1005,V2.0で追加
500,質問票,2350,9N711000000000011,服薬3(脂質),コード,CD,1,N,,,,,,9N711,服薬３（脂質）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2360,9N711167000000049,服薬3(脂質)(薬剤名),文字列,ST,256,,,,,,,9N711,服薬３（脂質）,,,,1.2.392.200119.6.1005,
500,質問票,2370,9N711167100000049,服薬3(脂質)(実施理由),文字列,ST,256,,,,,,,9N711,服薬３（脂質）,,,,1.2.392.200119.6.1005,
500,質問票,2290,9N712167200000049,服薬確認者（脂質）,コード,CD,1,N,,,,,,9N712,服薬確認者（脂質）,,,1.2.392.200119.6.1301,1.2.392.200119.6.1005,V2.0で追加
500,質問票,2380,9N716000000000011,既往歴1(脳血管),コード,CD,1,N,,,,,,9N716,既往歴１（脳血管）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2390,9N721000000000011,既往歴2(心血管),コード,CD,1,N,,,,,,9N721,既往歴２（心血管）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2400,9N726000000000011,既往歴3(腎不全･人工透析),コード,CD,1,N,,,,,,9N726,既往歴３（腎不全・人工透析）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2410,9N731000000000011,貧血,コード,CD,1,N,,,,,,9N731,貧血,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2420,9N736000000000011,喫煙,コード,CD,1,N,,,,,,9N736,喫煙,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2430,9N741000000000011,20歳からの体重変化,コード,CD,1,N,,,,,,9N741,２０歳からの体重変化,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2440,9N746000000000011,30分以上の運動習慣,コード,CD,1,N,,,,,,9N746,３０分以上の運動習慣,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2450,9N751000000000011,歩行又は身体活動,コード,CD,1,N,,,,,,9N751,歩行又は身体活動,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2460,9N756000000000011,歩行速度,コード,CD,1,N,,,,,,9N756,歩行速度,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2471,9N872000000000011,咀嚼,コード,CD,1,N,,,,,,9N872,咀嚼,,,1.2.392.200119.6.18030,1.2.392.200119.6.1005,V3.0で追加
500,質問票,2480,9N766000000000011,食べ方1(早食い等),コード,CD,1,N,,,,,,9N766,食べ方1（早食い等）,,,1.2.392.200119.6.2004,1.2.392.200119.6.1005,
500,質問票,2490,9N771000000000011,食べ方2(就寝前),コード,CD,1,N,,,,,,9N771,食べ方２（就寝前）,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2501,9N782000000000011,食べ方3(間食),コード,CD,1,N,,,,,,9N782,食べ方３（間食）,,,1.2.392.200119.6.18040,1.2.392.200119.6.1005,V3.0で追加
500,質問票,2510,9N781000000000011,食習慣,コード,CD,1,N,,,,,,9N781,食習慣,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2520,9N786000000000011,飲酒,コード,CD,1,N,,,,,,9N786,飲酒,,,1.2.392.200119.6.2005,1.2.392.200119.6.1005,
500,質問票,2530,9N791000000000011,飲酒量,コード,CO,1,N,,,,,,9N791,飲酒量,,,1.2.392.200119.6.2006,1.2.392.200119.6.1005,
500,質問票,2540,9N796000000000011,睡眠,コード,CD,1,N,,,,,,9N796,睡眠,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
500,質問票,2550,9N801000000000011,生活習慣の改善,コード,CD,1,N,,,,,,9N801,生活習慣の改善,,,1.2.392.200119.6.2007,1.2.392.200119.6.1005,
500,質問票,2560,9N806000000000011,保健指導の希望,コード,CD,1,N,,,,,,9N806,保健指導の希望,,,1.2.392.200119.6.2003,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2570,9N811000000000011,生活機能問診1,コード,CD,1,N,,,,,,9N811,生活機能問診1,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2580,9N816000000000011,生活機能問診2,コード,CD,1,N,,,,,,9N816,生活機能問診2,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2590,9N821000000000011,生活機能問診3,コード,CD,1,N,,,,,,9N821,生活機能問診3,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2600,9N826000000000011,生活機能問診4,コード,CD,1,N,,,,,,9N826,生活機能問診4,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
600,生活機能基本チェックリスト,2610,9N831000000000011,生活機能問診5,コード,CD,1,N,,,,,,9N831,生活機能問診5,,,1.2.392.200119.6.2008,1.2.392.200119.6.1005,
